id,playerID,season,gamesPlayed,gamesStarted,wins,losses,otLosses,goalsAgainst,goalsAgainstAvg,savePctg,shotsAgainst,shutouts,created_at,updated_at
182,8474596,20222023,42,41,15,24,3,145,3.550417,0.891386,1335,1,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
183,8474596,20232024,21,21,6,12,3,74,3.650315,0.892128,686,0,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
184,8474596,20232024,13,12,6,6,1,40,3.114658,0.900249,401,0,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
185,8478039,20192020,5,5,3,1,1,15,2.95858,0.913,172,0,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
186,8478039,20202021,24,23,16,8,0,68,2.884479,0.902,692,2,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
187,8478039,20212022,25,23,12,8,3,66,2.867557,0.910082,734,0,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
188,8478039,20212022,11,10,2,6,1,27,2.862275,0.916149,322,0,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
189,8478039,20222023,37,37,9,20,7,135,3.845697,0.882507,1149,1,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
190,8478039,20232024,31,27,6,20,3,105,3.814868,0.894578,996,0,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
191,8478039,20232024,6,6,1,4,0,11,2.511575,0.923077,143,1,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
192,8480947,20202021,37,37,17,14,5,109,3.00715,0.909,1204,2,2024-06-11 02:48:26 UTC,2024-06-11 02:48:26 UTC
193,8480947,20212022,32,29,8,15,6,106,3.503006,0.891059,973,0,2024-06-11 02:48:26 UTC,2024-06-11 02:48:26 UTC
194,8480947,20222023,19,18,9,8,1,49,2.749805,0.915952,583,0,2024-06-11 02:48:26 UTC,2024-06-11 02:48:26 UTC
